County,Size
"Wilcox County, Georgia",377.71
"Wilkes County, Georgia",469.49
"Wilkinson County, Georgia",447.31
"Worth County, Georgia",570.7
"Hawaii County, Hawaii","4,028.42"
"Honolulu County, Hawaii",600.74
"Kalawao County, Hawaii",11.99
"Kauai County, Hawaii",619.96
"Maui County, Hawaii","1,161.52"
"Ada County, Idaho","1,052.58"
"Adams County, Idaho","1,363.06"
"Bannock County, Idaho","1,111.99"
"Bear Lake County, Idaho",974.79
"Benewah County, Idaho",776.62
"Bingham County, Idaho","2,093.98"
"Blaine County, Idaho","2,643.59"
"Boise County, Idaho","1,899.24"
"Bonner County, Idaho","1,734.57"
"Bonneville County, Idaho","1,866.08"
"Boundary County, Idaho","1,268.56"
"Butte County, Idaho","2,231.67"
"Camas County, Idaho","1,074.49"
"Canyon County, Idaho",587.37
"Caribou County, Idaho","1,764.15"
"Cassia County, Idaho","2,565.08"
"Clark County, Idaho","1,764.19"
"Clearwater County, Idaho","2,457.27"
"Custer County, Idaho","4,920.94"
"Elmore County, Idaho","3,074.74"
"Franklin County, Idaho",663.65
"Fremont County, Idaho","1,863.53"
"Gem County, Idaho",560.90
"Gooding County, Idaho",728.97
"Idaho County, Idaho","8,477.35"
"Jefferson County, Idaho","1,093.50"
"Jerome County, Idaho",597.19
"Kootenai County, Idaho","1,244.13"
"Latah County, Idaho","1,076.00"
"Lemhi County, Idaho","4,563.39"
"Lewis County, Idaho",478.80
"Lincoln County, Idaho","1,201.41"
"Madison County, Idaho",469.21
"Minidoka County, Idaho",757.59
"Nez Perce County, Idaho",848.09
"Oneida County, Idaho","1,200.06"
"Owyhee County, Idaho","7,665.51"
"Payette County, Idaho",406.87
"Power County, Idaho","1,404.24"
"Shoshone County, Idaho","2,629.67"
"Teton County, Idaho",449.46
"Twin Falls County, Idaho","1,921.21"
"Valley County, Idaho","3,664.52"
"Washington County, Idaho","1,452.98"
"Adams County, Illinois",855.20
"Alexander County, Illinois",235.51
"Bond County, Illinois",380.28
"Boone County, Illinois",280.72
"Brown County, Illinois",305.61
"Bureau County, Illinois",869.03
"Calhoun County, Illinois",253.83
"Carroll County, Illinois",444.81
"Cass County, Illinois",375.82
"Champaign County, Illinois",996.27
"Christian County, Illinois",709.38
